,Family,Protein_Name,Protein_ID,Localization,Topology,TM_Segment_Helix,Hydrophobic_Thickness_or_Depth,Tilt_Angle,deltaGfold,kcal_mol
1842,"Sulfotransferase, family 1",Heparan sulfate glucosamine 3-O-sulfotra...,HS3S5_HUMAN,Golgi memb.,In,12- 33 ( 5- 34),28.1,18,0.1,-10.7
1844,"Carbohydrate sulfotransferase, family 1",Carbohydrate sulfotransferase 1,CHST1_HUMAN,Golgi memb.,In,6- 23 ( 4- 25),28.9,8,-11.5,-17.7
1845,"Carbohydrate sulfotransferase, family 1",Carbohydrate sulfotransferase 2,CHST2_HUMAN,Golgi memb.,In,52- 73 ( 49- 76),30.2,14,-10.5,-20.1
1846,"Carbohydrate sulfotransferase, family 1",Carbohydrate sulfotransferase 3,CHST3_HUMAN,Golgi memb.,In,21- 38 ( 18- 42),29.1,10,-14.4,-23.4
1847,"Carbohydrate sulfotransferase, family 1",Carbohydrate sulfotransferase 4,CHST4_HUMAN,Golgi memb.,In,10- 29 ( 7- 30),30.1,16,-17.7,-25.2
1849,"Carbohydrate sulfotransferase, family 1",Carbohydrate sulfotransferase 6,CHST6_HUMAN,Golgi memb.,In,12- 29 ( 9- 31),30.1,5,-13.3,-21.1
1850,"Carbohydrate sulfotransferase, family 1",Carbohydrate sulfotransferase 7,CHST7_HUMAN,Golgi memb.,In,15- 34 ( 13- 36),30.9,5,-12.2,-23.2
1851,Heparan sulfate-N-deacetylase,Bifunctional heparan sulfate N-deacetyla...,NDST1_HUMAN,Golgi memb.,In,18- 37 ( 16- 39),30.8,4,-16.2,-27.5
1853,Heparan sulfate-N-deacetylase,Bifunctional heparan sulfate N-deacetyla...,NDST3_HUMAN,Golgi memb.,In,12- 32 ( 10- 35),31.2,1,-15.2,-25.1
1854,Heparan sulfate-N-deacetylase,Bifunctional heparan sulfate N-deacetyla...,NDST4_HUMAN,Golgi memb.,In,12- 32 ( 10- 35),31.2,7,-15.1,-26.1
1855,"Carbohydrate sulfotransferase, family 2",Carbohydrate sulfotransferase 10,CHSTA_HUMAN,Golgi memb.,In,6- 25 ( 3- 28),30.0,22,-17.7,-26.7
1857,"Carbohydrate sulfotransferase, family 2",Carbohydrate sulfotransferase 12,CHSTC_HUMAN,Golgi memb.,In,10- 28 ( 5- 31),30.0,6,-17.4,-28.1
1858,"Carbohydrate sulfotransferase, family 2",Carbohydrate sulfotransferase 13,CHSTD_HUMAN,Golgi memb.,In,9- 27 ( 6- 28),30.1,11,-7.2,-14.4
1861,"Carbohydrate sulfotransferase, family 2",Carbohydrate sulfotransferase 9,CHST9_HUMAN,Golgi memb.,In,11- 33 ( 10- 38),30.2,29,-16.0,-26.8
1862,Heparan sulphate 2-O-sulfotransferase,Heparan sulfate 2-O-sulfotransferase 1,HS2ST_HUMAN,Golgi memb.,In,9- 27 ( 8- 36),29.1,5,-11.2,-22.0
1863,Heparan sulphate 2-O-sulfotransferase,Uronyl 2-sulfotransferase,UST_HUMAN,Golgi memb.,In,48- 66 ( 47- 68),29.1,8,-11.1,-21.2
1864,Heparan sulphate 6-sulfotransferase,Heparan-sulfate 6-O-sulfotransferase 1,H6ST1_HUMAN,Plasma memb.,In,13- 34 ( 11- 36),32.4,14,-12.5,-20.5
1865,Heparan sulphate 6-sulfotransferase,Heparan-sulfate 6-O-sulfotransferase 2,H6ST2_HUMAN,Golgi memb.,In,153- 171 ( 147- 172),30.1,5,-20.3,-26.5
1866,Heparan sulphate 6-sulfotransferase,Heparan-sulfate 6-O-sulfotransferase 3,H6ST3_HUMAN,Golgi memb.,In,8- 26 ( 4- 28),29.1,10,-13.2,-25.7
1867,Galactose-3-O-sulfotransferase,Galactose-3-O-sulfotransferase 2,G3ST2_HUMAN,Golgi memb.,In,13- 31 ( 10- 33),30.1,6,-20.2,-28.4
1868,Galactose-3-O-sulfotransferase,Galactose-3-O-sulfotransferase 3,G3ST3_HUMAN,Golgi memb.,In,18- 36 ( 13- 40),30.0,5,-4.6,-14.3
1869,Galactose-3-O-sulfotransferase,Galactose-3-O-sulfotransferase 4,G3ST4_HUMAN,Golgi memb.,In,14- 34 ( 13- 35),30.1,13,-9.4,-21.1
1870,Galactose-3-O-sulfotransferase,Galactosylceramide sulfotransferase,G3ST1_HUMAN,Golgi memb.,In,12- 31 ( 9- 33),30.2,15,-14.1,-22.8
1871,Protein-tyrosine sulfotransferase,Protein-tyrosine sulfotransferase 1,TPST1_HUMAN,Golgi memb.,In,5- 23 ( 4- 27),30.1,3,-6.9,-16.5
1872,Protein-tyrosine sulfotransferase,Protein-tyrosine sulfotransferase 2,TPST2_HUMAN,Golgi memb.,In,8- 28 ( 5- 29),31.0,19,-10.0,-19.3
1875,Aminotransferase,Serine palmitoyltransferase 1,SPTC1_HUMAN,ER memb.,Out,23- 42 ( 21- 43),30.1,13,-12.1,-17.4
1876,Aminotransferase,Serine palmitoyltransferase 2,SPTC2_HUMAN,ER memb.,Out,68- 86 ( 67- 87),30.7,14,-7.4,-17.9
1878,Gamma-glutamyltranspeptidase,Glutathione hydrolase 1 proenzyme,GGT1_HUMAN,Plasma memb.,In,5- 26 ( 4- 27),34.5,17,-16.7,-30.4
1879,Gamma-glutamyltranspeptidase,Glutathione hydrolase 5 proenzyme,GGT5_HUMAN,Plasma memb.,In,11- 32 ( 9- 36),33.5,7,-17.6,-26.3
1880,Gamma-glutamyltranspeptidase,Glutathione hydrolase 6,GGT6_HUMAN,Plasma memb.,In,56- 77 ( 55- 78),32.4,7,-7.6,-16.6
1881,Gamma-glutamyltranspeptidase,Glutathione hydrolase 7,GGT7_HUMAN,Plasma memb.,In,107- 129 ( 104- 130),33.5,22,-12.3,-22.5
1882,Gamma-glutamyltranspeptidase,Inactive glutathione hydrolase 2,GGT2_HUMAN,Plasma memb.,In,5- 26 ( 4- 27),34.5,17,-16.7,-30.4
1883,Gamma-glutamyltranspeptidase,Putative glutathione hydrolase 3 proenzy...,GGT3_HUMAN,Plasma memb.,In,5- 26 ( 4- 27),34.5,17,-16.7,-30.4
1885,Adenosine monophosphate-protein transfer...,Protein adenylyltransferase FICD,FICD_HUMAN,ER memb.,In,21- 44 ( 19- 46),33.5,26,-14.8,-25.4
1886,Glycosaminoglycan xylosylkinase,Glycosaminoglycan xylosylkinase,XYLK_HUMAN,Golgi memb.,In,6- 24 ( 4- 25),28.2,16,-16.6,-25.6
1888,Phosphoinositide-3-kinase interacting pr...,Phosphoinositide-3-kinase-interacting pr...,P3IP1_HUMAN,Plasma memb.,Out,173- 193 ( 170- 197),33.3,3,-13.6,-22.9
1889,Eukaryotic diacylglycerol kinase,Diacylglycerol kinase epsilon,DGKE_HUMAN,Plasma memb.,Out,21- 42 ( 19- 47),33.3,1,-9.7,-25.2
1892,LRAT domain-containing proteins,Lecithin retinol acyltransferase,LRAT_HUMAN,ER memb.,In,196- 215 ( 190- 216),30.2,11,-5.3,-16.4
1894,LRAT domain-containing proteins,Phospholipase A and acyltransferase 2,PLAT2_HUMAN,ER memb.,In,134- 154 ( 131- 160),31.1,21,-10.1,-19.2
1895,LRAT domain-containing proteins,Phospholipase A and acyltransferase 3,PLAT3_HUMAN,ER memb.,In,133- 153 ( 128- 158),31.0,24,-9.2,-17.7
1896,LRAT domain-containing proteins,Phospholipase A and acyltransferase 4,PLAT4_HUMAN,Plasma memb.,In,135- 157 ( 129- 160),33.4,15,-7.5,-17.1
1898,N-acetylglucosaminyl phosphatidylinosito...,N-acetylglucosaminyl-phosphatidylinosito...,PIGL_HUMAN,ER memb.,Out,5- 23 ( 3- 31),30.0,1,-12.9,-23.1
1899,Glycosylphosphatidylinositol-mannosyltra...,Phosphatidylinositol-glycan biosynthesis...,PIGX_HUMAN,ER memb.,Out,231- 252 ( 229- 254),31.1,19,-14.3,-24.4
1900,Glycosylphosphatidylinositol-mannosyltra...,Phosphatidylinositol-glycan biosynthesis...,A8MSL3_HUMAN,Membrane,Und,190- 211 ( 188- 213),30.9,19,-14.2,-24.3
1901,"GPI-GlcNAc transferase complex, PIG-H co...",Phosphatidylinositol N-acetylglucosaminy...,PIGH_HUMAN,Membrane,Und,64- 83 ( 59- 86),31.0,11,-11.3,-20.1
1902,Subunit of serine palmitoyltransferase,Serine palmitoyltransferase small subuni...,SPTSA_HUMAN,ER memb.,Und,36-55(31-56),30.1,15,-7.7,-18.4
1903,Subunit of serine palmitoyltransferase,Serine palmitoyltransferase small subuni...,SPTSB_HUMAN,ER memb.,Und,33-51(28-52),30.2,20,-15.9,-24.1
1904,Aspartic peptidase,Beta-secretase 1,BACE1_HUMAN,Plasma memb.,Out,453- 475 ( 450- 477),34.5,5,-14.2,-24.5
1905,Aspartic peptidase,Beta-secretase 2,BACE2_HUMAN,Plasma memb.,Out,469- 493 ( 465- 498),33.4,27,-17.1,-29.7
1906,Retroviral-like aspartic protease,Retroviral-like aspartic protease 1,APRV1_HUMAN,ER memb.,In,61- 75 ( 60- 77),28.5,5,-10.0,-18.6
1907,Peptidase C13,GPI-anchor transamidase,GPI8_HUMAN,ER memb.,Out,368- 385 ( 367- 386),29.6,19,-14.8,-22.5
1908,Peptidase C65,Inactive ubiquitin thioesterase OTULINL,OTULL_HUMAN,Plasma memb.,In,40- 62 ( 36- 65),33.5,14,-13.8,-23.8
1909,Peptidase M1,Aminopeptidase N,AMPN_HUMAN,Plasma memb.,In,15- 37 ( 12- 44),34.2,11,-11.6,-22.9
1910,Peptidase M1,Aminopeptidase Q,AMPQ_HUMAN,Vesicle memb.,In,18- 41 ( 14- 42),31.2,32,-18.2,-25.5
1912,Peptidase M1,Glutamyl aminopeptidase,AMPE_HUMAN,Plasma memb.,In,16- 38 ( 13- 41),34.4,9,-10.2,-21.6
1915,"Peptidase M2, peptidyl-dipeptidase A",Angiotensin-converting enzyme,ACE_HUMAN,Plasma memb.,Out,1257-1279 (1250-1280),33.3,20,-15.8,-24.7
1916,"Peptidase M2, peptidyl-dipeptidase A",Angiotensin-converting enzyme 2,ACE2_HUMAN,Plasma memb.,Out,741- 764 ( 738- 771),34.3,20,-19.0,-30.5
1917,"Peptidase M2, peptidyl-dipeptidase A",Collectrin,CLTRN_HUMAN,Plasma memb.,Out,140- 164 ( 139- 171),34.2,30,-24.1,-33.3
1918,"Peptidase M10A, matrix metallopeptidase",Matrix metalloproteinase-14,MMP14_HUMAN,Plasma memb.,Out,540- 561 ( 536- 565),34.3,15,-23.0,-33.0
1919,"Peptidase M10A, matrix metallopeptidase",Matrix metalloproteinase-15,MMP15_HUMAN,Plasma memb.,Out,624- 645 ( 616- 651),33.4,14,-17.6,-28.4
1920,"Peptidase M10A, matrix metallopeptidase",Matrix metalloproteinase-16,MMP16_HUMAN,Plasma memb.,Out,562- 586 ( 558- 589),34.4,23,-17.5,-29.0
1923,Meprin alpha/beta subunit,Meprin A subunit alpha,MEP1A_HUMAN,Plasma memb.,Out,719- 739 ( 717- 742),33.2,11,-10.3,-21.5
1924,Meprin alpha/beta subunit,Meprin A subunit beta,MEP1B_HUMAN,Plasma memb.,Out,653- 675 ( 650- 685),33.3,21,-17.5,-27.1
1925,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA10_HUMAN,Plasma memb.,Out,675- 696 ( 665- 701),33.3,9,-18.4,-29.0
1926,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA11_HUMAN,Plasma memb.,Out,733- 754 ( 730- 755),33.4,13,-5.9,-16.5
1927,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA12_HUMAN,Plasma memb.,Out,707- 729 ( 705- 732),33.4,15,-17.0,-24.0
1928,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA15_HUMAN,Plasma memb.,Out,695- 715 ( 693- 721),33.2,10,-21.6,-30.5
1930,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA18_HUMAN,Plasma memb.,Out,689- 708 ( 685- 711),33.3,6,-15.4,-33.0
1935,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA22_HUMAN,Plasma memb.,Out,737- 759 ( 735- 766),33.4,16,-14.8,-25.3
1936,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA23_HUMAN,Plasma memb.,Out,791- 812 ( 788- 813),33.4,13,-7.9,-17.5
1937,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA28_HUMAN,Plasma memb.,Out,662- 686 ( 658- 697),35.3,20,-17.9,-32.6
1938,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA29_HUMAN,Plasma memb.,Out,675- 696 ( 674- 701),33.2,4,-18.8,-26.2
1939,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA30_HUMAN,Endosome memb.,Out,688- 709 ( 684- 711),33.2,10,-17.4,-26.9
1940,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA32_HUMAN,Plasma memb.,Out,682- 702 ( 679- 706),33.5,8,-18.7,-28.5
1941,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADA33_HUMAN,Plasma memb.,Out,700- 721 ( 699- 725),33.5,18,-11.0,-25.9
1942,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADAM7_HUMAN,Plasma memb.,Out,667- 691 ( 662- 694),34.5,20,-22.0,-32.4
1943,Peptidase M12B,Disintegrin and metalloproteinase domain...,ADAM8_HUMAN,Plasma memb.,Out,656- 677 ( 655- 683),34.5,30,-24.2,-31.4
1945,Peptidase M13,EEF1AKMT4-ECE2 readthrough transcript pr...,EFCE2_HUMAN,ER memb.,In,178-200(174-204),30.1,35,-12.3,-21.9
1948,Peptidase M13,Endothelin-converting enzyme-like 1,ECEL1_HUMAN,Plasma memb.,In,62- 83 ( 58- 84),34.5,11,-15.0,-23.8
1949,Peptidase M13,Kell blood group glycoprotein,KELL_HUMAN,Plasma memb.,In,46- 68 ( 42- 70),34.3,20,-19.0,-28.8
1950,Peptidase M13,Membrane metallo-endopeptidase-like 1,MMEL1_HUMAN,Plasma memb.,In,25- 47 ( 22- 51),33.5,11,-20.9,-30.4
1951,Peptidase M13,Neprilysin,NEP_HUMAN,Plasma memb.,In,28- 49 ( 26- 52),34.4,2,-22.4,-27.9
1953,"Peptidase M14B, caboxypeptidase D",Carboxypeptidase D,CBPD_HUMAN,Plasma memb.,Out,1301-1323 (1298-1328),34.4,14,-9.3,-19.6
1954,Peptidase M28B/Transferrin receptor,Aminopeptidase NAALADL1,NALDL_HUMAN,Plasma memb.,In,5- 27 ( 3- 28),34.4,20,-11.1,-22.1
1955,Peptidase M28B/Transferrin receptor,Glutamate carboxypeptidase 2,FOLH1_HUMAN,Plasma memb.,In,21- 42 ( 19- 46),34.4,10,-10.3,-28.5
1957,Peptidase M28B/Transferrin receptor,N-acetylated-alpha-linked acidic dipepti...,NALD2_HUMAN,Plasma memb.,In,10- 34 ( 3- 37),34.5,20,-12.4,-25.3
1959,Peptidase M28B/Transferrin receptor,Transferrin receptor protein 2,TFR2_HUMAN,Plasma memb.,In,83- 104 ( 82- 107),34.4,10,-12.3,-25.0
1960,Glutaminyl-peptide cyclotransferase,Glutaminyl-peptide cyclotransferase-like...,QPCTL_HUMAN,Golgi memb.,In,36- 51 ( 35- 52),30.2,13,-8.8,-17.7
1961,"Peptidase S1A, chymotrypsin-type",Enteropeptidase,ENTK_HUMAN,Plasma memb.,In,19- 41 ( 16- 47),34.2,8,-19.6,-28.3
1962,"Peptidase S1A, chymotrypsin-type",Prostasin,PRSS8_HUMAN,Plasma memb.,Out,326- 338 ( 325- 343),29.1,8,-0.7,-18.7
1963,"Peptidase S1A, chymotrypsin-type",Serine protease hepsin,HEPS_HUMAN,Plasma memb.,In,20- 43 ( 17- 46),33.3,20,-13.2,-23.1
1964,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 11A,TM11A_HUMAN,Plasma memb.,In,18- 40 ( 16- 41),34.3,22,-17.1,-28.4
1965,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 11B,TM11B_HUMAN,Plasma memb.,In,13- 39 ( 11- 43),34.3,31,-18.2,-32.0
1969,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 12,TMPSC_HUMAN,Plasma memb.,Out,327- 346 ( 323- 347),32.2,2,-6.3,-15.9
1970,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 13,TMPSD_HUMAN,Plasma memb.,In,163- 183 ( 162- 187),32.2,28,-20.5,-28.5
1971,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 2,TMPS2_HUMAN,Plasma memb.,In,83- 108 ( 76- 112),34.4,31,-14.5,-27.0
1972,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 3,TMPS3_HUMAN,ER memb.,In,45- 69 ( 44- 70),31.1,36,-14.9,-28.1
1973,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 4,TMPS4_HUMAN,Plasma memb.,In,35- 55 ( 34- 60),33.9,20,-20.1,-26.9
1975,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 6,TMPS6_HUMAN,Plasma memb.,In,54- 75 ( 53- 78),33.4,12,-20.3,-30.9
1976,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 7,TMPS7_HUMAN,Plasma memb.,In,62- 84 ( 59- 91),34.4,11,-26.3,-32.7
1977,"Peptidase S1A, chymotrypsin-type",Transmembrane protease serine 9,TMPS9_HUMAN,Plasma memb.,In,29- 49 ( 23- 53),34.3,12,-13.7,-23.0
1980,"Peptidase S1A, matripase",Suppressor of tumorigenicity 14 protein,ST14_HUMAN,Plasma memb.,In,56- 78 ( 53- 83),33.9,27,-19.0,-31.6
1981,Atrial natriuretic peptide-converting en...,Atrial natriuretic peptide-converting en...,CORIN_HUMAN,Plasma memb.,In,44- 66 ( 39- 68),34.4,22,-23.0,-31.7
1982,"Peptidase S8, subtilisin-related",Furin,FURIN_HUMAN,Golgi memb.,Out,715- 734 ( 712- 737),29.8,21,-12.8,-24.3
1983,"Peptidase S8, subtilisin-related",Membrane-bound transcription factor site...,MBTP1_HUMAN,Golgi memb.,Out,1003-1020 (1002-1026),29.7,15,-16.6,-27.1
1985,"Peptidase S8, subtilisin-related",Proprotein convertase subtilisin/kexin t...,PCSK5_HUMAN,Golgi memb.,Out,1745-1765 (1743-1769),30.9,0,-18.0,-27.3
1987,"Peptidase S26A, signal peptidase I",Mitochondrial inner membrane protease su...,IMP2L_HUMAN,Mito. inner memb.,In,12- 32 ( 7- 37),28.6,21,-7.4,-20.7
1988,Dipeptidylpeptidase IV,Dipeptidyl aminopeptidase-like protein 6,DPP6_HUMAN,Plasma memb.,In,95- 116 ( 93- 117),34.4,4,-16.2,-25.8
1990,Dipeptidylpeptidase IV,Inactive dipeptidyl peptidase 10,DPP10_HUMAN,Plasma memb.,In,33- 55 ( 32- 56),34.5,6,-15.9,-25.8
1991,Dipeptidylpeptidase IV,Prolyl endopeptidase FAP,SEPR_HUMAN,Plasma memb.,In,7- 27 ( 5- 29),33.3,16,-14.9,-24.7
1992,Peptidase C19 family,Ubiquitin carboxyl-terminal hydrolase 19,UBP19_HUMAN,ER memb.,In,1290-1307 (1284-1308),30.1,13,-12.2,-21.2
1993,Peptidase C19 family,Ubiquitin carboxyl-terminal hydrolase 30,UBP30_HUMAN,Mito. outer memb.,Out,36- 56 ( 30- 63),29.3,31,-12.2,-21.9
1994,Signal peptidase complex subunit 3,Signal peptidase complex subunit 3,SPCS3_HUMAN,ER memb.,In,12- 31 ( 10- 35),30.0,22,-9.9,-21.8
1996,Nicalin,Nicalin,NCLN_HUMAN,ER memb.,Out,523- 544 ( 521- 545),30.2,26,-10.6,-19.5
1997,Presenilin enhancer-2 subunit of gamma s...,Gamma-secretase subunit PEN-2,PEN2_HUMAN,Plasma memb.,In,58-79(56-81),31.9,20,-14.4,-24.5
1998,TIKI family,Metalloprotease TIKI1,TIKI1_HUMAN,Plasma memb.,Out,477- 496 ( 472- 500),32.4,15,-3.9,-18.4
1999,TIKI family,Metalloprotease TIKI2,TIKI2_HUMAN,Plasma memb.,Out,494- 513 ( 493- 514),32.2,5,-6.6,-17.3
2000,TIKI family,TraB domain-containing protein,TRABD_HUMAN,Plasma memb.,Out,328- 349 ( 325- 354),32.4,16,-4.7,-16.3
2001,"Lipase, GDSL","Phospholipase B1, membrane-associated",PLB1_HUMAN,Plasma memb.,Out,1416-1437 (1413-1443),33.5,11,-5.4,-20.2
2002,Neuropathy target esterase,Patatin-like phospholipase domain-contai...,PLPL6_HUMAN,ER memb.,Out,51- 73 ( 47- 74),30.9,24,-15.3,-24.0
2003,Neuropathy target esterase,Patatin-like phospholipase domain-contai...,PLPL7_HUMAN,ER memb.,Out,13- 35 ( 9- 36),32.1,19,-18.0,-27.4
2004,Arylacetamide deacetylase (class 3),Arylacetamide deacetylase,AAAD_HUMAN,ER memb.,In,4- 21 ( 3- 22),29.1,9,-10.5,-17.6
2005,Arylacetamide deacetylase (class 3),Arylacetamide deacetylase-like 4,ADCL4_HUMAN,ER memb.,In,6- 28 ( 4- 29),30.8,33,-16.1,-31.5
2006,Arylacetamide deacetylase (class 3),Neutral cholesterol ester hydrolase 1,NCEH1_HUMAN,ER memb.,In,6- 21 ( 5- 22),28.0,9,-8.1,-14.0
2007,Epoxide hydrolase-like (class 1),Epoxide hydrolase 4,EPHX4_HUMAN,Vesicle memb.,In,12- 31 ( 11- 43),29.1,15,-3.0,-13.9
2008,Epoxide hydrolase-like (class 1),Mesoderm-specific transcript homolog pro...,MEST_HUMAN,ER memb.,In,16- 34 ( 9- 35),30.1,1,-7.1,-19.2
2009,Epoxide hydrolase-like (class 1),Monoacylglycerol lipase ABHD6,ABHD6_HUMAN,Vesicle memb.,In,9- 31 ( 7- 32),31.2,21,-7.7,-23.4
2010,AB-hydrolase YheT (class 1),Monoacylglycerol lipase ABHD2,ABHD2_HUMAN,Plasma memb.,In,13- 32 ( 11- 36),29.0,24,-8.5,-16.2
2011,AB-hydrolase YheT (class 1),Phospholipase ABHD3,ABHD3_HUMAN,Vesicle memb.,In,29- 48 ( 27- 54),31.1,2,-6.1,-20.3
2012,AB-hydrolase YheT (class 1),Protein ABHD1,ABHD1_HUMAN,Vesicle memb.,In,14- 33 ( 12- 35),29.1,15,-14.4,-22.9
2013,Serine esterase,Lysophosphatidylserine lipase ABHD12,ABD12_HUMAN,Plasma memb.,In,73- 92 ( 67- 93),31.4,16,-9.4,-20.8
2014,Serine esterase,Protein ABHD13,ABHDD_HUMAN,Plasma memb.,In,34- 59 ( 32- 60),34.4,32,-16.6,-27.2
2015,Alpha/beta hydrolase 14 family,Protein ABHD14A,ABHEA_HUMAN,Vesicle memb.,In,31- 50 ( 25- 52),29.8,15,-13.7,-21.3
2016,GPI inositol-deacylase PGAP1-like,Protein SERAC1,SRAC1_HUMAN,ER memb.,In,33- 52 ( 27- 58),29.1,14,-5.1,-16.3
2018,Phospholipase D,5'-3' exonuclease PLD3,PLD3_HUMAN,ER memb.,In,37- 57 ( 25- 58),30.1,20,-16.0,-23.7
2019,Phospholipase D,5'-3' exonuclease PLD4,PLD4_HUMAN,ER memb.,In,31- 52 ( 27- 53),31.2,20,-11.7,-21.6
2021,Phospholipase D,Mitochondrial cardiolipin hydrolase,PLD6_HUMAN,Mito. outer memb.,Out,9- 31 ( 6- 37),27.5,32,-14.0,-22.8
2022,Neutral/alkaline nonlysosomal ceramidase,Neutral ceramidase,ASAH2_HUMAN,Plasma memb.,In,10- 33 ( 8- 35),34.2,20,-23.0,-31.3
2023,Protein phosphatase 2C,Protein phosphatase 1L,PPM1L_HUMAN,ER memb.,Out,24- 41 ( 23- 44),27.8,8,-8.9,-16.6
2024,"Histidine phosphatase, clade 1",Serine/threonine-protein phosphatase PGA...,PGAM5_HUMAN,Mito. outer memb.,Out,8- 27 ( 3- 31),29.0,31,-5.8,-16.1
2025,"Histidine phosphatase, clade 2",2-phosphoxylose phosphatase 1,PXYP1_HUMAN,Golgi memb.,In,9- 31 ( 7- 32),30.2,26,-16.7,-28.8
2026,"Histidine phosphatase, clade 2",Lysosomal acid phosphatase,PPAL_HUMAN,Lysosome memb.,Out,382- 403 ( 380- 409),31.2,25,-18.0,-25.5
2027,"Histidine phosphatase, clade 2",Prostatic acid phosphatase,PPAP_HUMAN,Plasma memb.,Out,381- 403 ( 377- 406),34.5,14,-23.4,-31.5
2028,"Histidine phosphatase, clade 2",Testicular acid phosphatase,PPAT_HUMAN,Plasma memb.,Out,392- 413 ( 391- 414),34.4,16,-11.4,-22.7
2029,Inositol monophosphatase,"Golgi-resident adenosine 3',5'-bisphosph...",IMPA3_HUMAN,Golgi memb.,In,11- 26 ( 10- 28),28.4,17,-9.0,-18.0
2030,Nucleotide pyrophosphatase/phosphodieste...,Bis(5'-adenosyl)-triphosphatase ENPP4,ENPP4_HUMAN,Plasma memb.,Out,405- 428 ( 404- 431),34.0,26,-18.6,-25.2
2031,Nucleotide pyrophosphatase/phosphodieste...,Ectonucleotide pyrophosphatase/phosphodi...,ENPP1_HUMAN,Plasma memb.,In,75- 96 ( 72- 98),33.4,5,-9.5,-19.1
2032,Nucleotide pyrophosphatase/phosphodieste...,Ectonucleotide pyrophosphatase/phosphodi...,ENPP3_HUMAN,Plasma memb.,In,21- 43 ( 18- 49),34.5,21,-14.7,-24.5
2033,Nucleotide pyrophosphatase/phosphodieste...,Ectonucleotide pyrophosphatase/phosphodi...,ENPP5_HUMAN,Plasma memb.,Out,433- 454 ( 432- 456),32.4,13,-15.5,-27.0
2034,Nucleotide pyrophosphatase/phosphodieste...,Ectonucleotide pyrophosphatase/phosphodi...,ENPP7_HUMAN,Plasma memb.,Out,443- 457 ( 442- 458),31.1,4,-4.7,-9.6
2035,Nucleoside phosphatase GDA1/CD39,Ectonucleoside triphosphate diphosphohyd...,ENTP6_HUMAN,Golgi memb.,In,45- 62 ( 44- 65),28.9,12,-3.2,-14.7
2037,Glycerophosphoryl diester phosphodiester...,Glycerophosphodiester phosphodiesterase...,GDE1_HUMAN,Plasma memb.,Und,16- 31 ( 15- 32),29.0,11,-10.0,-15.4
2038,Glycerophosphoryl diester phosphodiester...,Lysophospholipase D GDPD3,GDPD3_HUMAN,Membrane,In,7- 25 ( 5- 27),30.0,6,-5.4,-16.6
2039,Glycerophosphodiester phosphodiesterase...,Lysophospholipase D GDPD1,GDPD1_HUMAN,Plasma memb.,Out,6-25(3-26),29.1,16,-8.2,-18.2
2040,N-acetylglucosamine-1-phosphodiester alp...,N-acetylglucosamine-1-phosphodiester alp...,NAGPA_HUMAN,Golgi memb.,Out,445- 465 ( 442- 469),30.1,20,-20.3,-29.8
2041,"Glycosyl hydrolase, family 1",Beta-klotho,KLOTB_HUMAN,Plasma memb.,Out,997-1017 ( 996-1023),33.4,11,-14.8,-24.8
2042,"Glycosyl hydrolase, family 1",Klotho,KLOT_HUMAN,Plasma memb.,Out,981-1002 ( 979-1006),34.4,8,-19.3,-27.4
2044,"Glycosyl hydrolase, family 1",Lactase-phlorizin hydrolase,LPH_HUMAN,Plasma memb.,Out,1883-1904 (1879-1909),33.4,10,-11.9,-22.4
2045,"Glycosyl hydrolase, family 31",Maltase-glucoamylase,MGA_HUMAN,Plasma memb.,In,13- 35 ( 11- 40),34.4,14,-25.8,-32.2
2046,"Glycosyl hydrolase, family 31",Myogenesis-regulating glycosidase,MYORG_HUMAN,Nucleus memb.,In,58- 77 ( 57- 86),31.2,5,-15.1,-24.2
2047,"Glycosyl hydrolase, family 31",Probable maltase-glucoamylase 2,MGAL_HUMAN,Membrane,In,8- 30 ( 6- 34),30.7,36,-17.0,-25.2
2048,"Glycosyl hydrolase, family 31","Sucrase-isomaltase, intestinal",SUIS_HUMAN,Plasma memb.,In,10- 32 ( 9- 34),34.3,14,-24.8,-31.9
